Player,Data Split,FantPos,Predicted Fantasy Points,2025PPR
Colby Parkinson,Train,TE,101.21,104.6
Dawson Knox,Train,TE,103.74,104.6
Tommy Tremble,Train,TE,81.67,75.9
Tanner Hudson,Test,TE,97.92,72.0
Michael Mayer,Train,TE,64.68,62.5
Kylen Granson,Train,TE,99.63,104.6
Tyler Higbee,Train,TE,130.49,130.9
Daniel Bellinger,Test,TE,86.11,72.0
Ben Sinnott,Train,TE,104.39,104.6
Gerald Everett,Test,TE,120.33,104.6
Luke Musgrave,Train,TE,56.4,54.4
Jaheim Bell,Train,TE,75.04,72.0
Tyler Warren,Test,TE,116.8,133.9
Colston Loveland,Train,TE,116.44,119.3
Lamar Jackson,Train,QB,478.56,479.2
Josh Allen,Train,QB,428.8,431.3
Joe Burrow,Train,QB,431.88,439.1
Baker Mayfield,Train,QB,389.95,389.7
Jayden Daniels,Test,QB,330.04,414.9
Jared Goff,Train,QB,345.59,347.4
Bo Nix,Test,QB,326.74,355.0
Jalen Hurts,Train,QB,423.71,422.8
Sam Darnold,Train,QB,279.53,272.5
Kyler Murray,Train,QB,382.18,386.2
Patrick Mahomes II,Train,QB,324.54,318.0
Justin Herbert,Train,QB,332.66,326.5
Geno Smith,Train,QB,318.3,322.4
Brock Purdy,Test,QB,335.47,360.6
Aaron Rodgers,Train,QB,291.76,292.0
Caleb Williams,Train,QB,341.82,345.4
Jordan Love,Train,QB,332.75,333.3
C.J. Stroud,Train,QB,315.29,314.8
Matthew Stafford,Train,QB,322.33,326.0
Bryce Young,Train,QB,274.91,271.3
Kirk Cousins,Train,QB,90.05,82.0
Tua Tagovailoa,Train,QB,315.79,315.8
Drake Maye,Train,QB,301.02,295.3
Russell Wilson,Train,QB,278.52,279.2
Anthony Richardson,Train,QB,271.35,270.3
Trevor Lawrence,Train,QB,308.14,307.1
Daniel Jones,Test,QB,258.58,56.4
Will Levis,Test,QB,239.22,88.0
Dak Prescott,Train,QB,354.61,357.5
Justin Fields,Train,QB,350.27,356.8
Aidan O'Connell,Test,QB,115.83,15.9
Drew Lock,Train,QB,86.73,88.0
Deshaun Watson,Train,QB,88.8,88.0
Michael Penix Jr.,Test,QB,176.0,299.6
Sam Howell,Train,QB,17.8,15.7
J.J. McCarthy,Train,QB,290.35,299.6
Cam Ward,Test,QB,249.82,264.9
Tyler Shough,Train,QB,178.18,170.5
