Player,FantPos,Predicted Fantasy Points,2025PPR
Hunter Henry,WR/TE,149.46,144.6
DJ Chark,WR/TE,124.4,131.0
Cade Otton,WR/TE,151.03,141.2
Tim Patrick,WR/TE,128.6,131.0
Chigoziem Okonkwo,WR/TE,126.31,118.6
Elijah Moore,WR/TE,138.23,131.0
Darnell Mooney,WR/TE,184.71,190.5
Kendrick Bourne,WR/TE,119.77,131.0
Josh Reynolds,WR/TE,122.73,89.5
Pat Freiermuth,WR/TE,163.26,157.5
Jalen McMillan,WR/TE,144.91,129.7
Jonnu Smith,WR/TE,217.3,204.9
Demarcus Robinson,WR/TE,126.43,93.1
Jahan Dotson,WR/TE,107.9,131.0
Mike Williams,WR/TE,0.0,117.2
Ricky Pearsall,WR/TE,142.6,159.9
Juwan Johnson,WR/TE,123.95,123.7
Rashod Bateman,WR/TE,168.46,193.3
Quentin Johnston,WR/TE,176.29,190.1
Isaiah Likely,WR/TE,127.27,137.8
Luke Musgrave,WR/TE,96.75,54.4
Gerald Everett,WR/TE,108.14,104.6
Tyler Higbee,WR/TE,128.18,130.9
Noah Fant,WR/TE,116.94,111.0
Ben Sinnott,WR/TE,117.91,104.6
Marvin Mims Jr.,WR/TE,139.64,141.5
K.J. Osborn,WR/TE,109.33,131.0
Trey Palmer,WR/TE,115.79,131.0
Tutu Atwell,WR/TE,126.94,117.8
Alec Pierce,WR/TE,138.2,131.7
Tucker Kraft,WR/TE,145.41,148.9
Nelson Agholor,WR/TE,109.64,131.0
Kalif Raymond,WR/TE,109.64,131.0
Mike Gesicki,WR/TE,145.9,139.5
Ja'Tavion Sanders,WR/TE,122.51,83.7
Noah Brown,WR/TE,122.41,99.3
Michael Mayer,WR/TE,114.64,62.5
Kylen Granson,WR/TE,116.19,104.6
Colby Parkinson,WR/TE,115.28,104.6
Dawson Knox,WR/TE,105.53,104.6
Tanner Hudson,WR/TE,103.79,72.0
Tommy Tremble,WR/TE,103.89,75.9
Noah Gray,WR/TE,103.03,75.9
Daniel Bellinger,WR/TE,101.45,72.0
Jaheim Bell,WR/TE,104.08,72.0
Rondale Moore,WR/TE,101.25,93.7
Travis Hunter,WR/TE,138.87,192.2
Rome Odunze,WR/TE,170.81,178.7
Nick Westbrook-Ikhine,WR/TE,153.55,165.4
Tetairoa McMillan,WR/TE,138.87,159.1
Matthew Golden,WR/TE,138.87,158.2
Calvin Austin III,WR/TE,122.33,151.3
Jack Bech,WR/TE,138.87,140.3
Emeka Egbuka,WR/TE,137.54,140.3
Jalen Tolbert,WR/TE,128.14,138.1
Luther Burden III,WR/TE,134.19,137.6
Jalen Coker,WR/TE,114.61,136.3
Xavier Legette,WR/TE,135.8,134.3
Tre Tucker,WR/TE,130.39,130.6
Cedric Tillman,WR/TE,122.33,130.4
Kayshon Boutte,WR/TE,128.6,127.5
Ray-Ray McCloud,WR/TE,144.09,126.3
Jayden Higgins,WR/TE,138.87,111.0
Jaylin Noel,WR/TE,123.71,131.0
Andrei Iosivas,WR/TE,127.32,105.5
Zach Ertz,WR/TE,170.08,174.6
Tyler Warren,WR/TE,137.54,133.9
Colston Loveland,WR/TE,134.19,119.3
Theo Johnson,WR/TE,123.44,113.0
Brenton Strange,WR/TE,120.41,105.9
Mason Taylor,WR/TE,134.19,129.0
Josh Allen,QB,414.48,431.3
Jalen Hurts,QB,416.1,422.8
Lamar Jackson,QB,438.93,450.0
Dak Prescott,QB,330.91,357.5
Patrick Mahomes II,QB,324.04,318.0
Jordan Love,QB,328.49,333.3
Joe Burrow,QB,400.33,439.1
Kyler Murray,QB,383.72,386.2
Brock Purdy,QB,359.07,360.6
C.J. Stroud,QB,319.65,314.8
Jayden Daniels,QB,391.62,414.9
Caleb Williams,QB,338.27,345.4
Jared Goff,QB,340.39,347.4
Anthony Richardson,QB,275.18,270.3
Trevor Lawrence,QB,308.22,307.1
Tua Tagovailoa,QB,317.76,315.8
Baker Mayfield,QB,385.26,389.7
Justin Herbert,QB,327.57,326.5
Matthew Stafford,QB,324.33,326.0
Will Levis,QB,0.0,88.0
Daniel Jones,QB,104.22,56.4
Geno Smith,QB,321.06,322.4
Russell Wilson,QB,292.82,279.2
Kirk Cousins,QB,94.02,82.0
Bryce Young,QB,277.88,271.3
Deshaun Watson,QB,85.56,88.0
Drake Maye,QB,301.43,295.3
Justin Fields,QB,331.2,356.8
Sam Howell,QB,48.59,15.7
Aidan O'Connell,QB,48.59,15.9
Drew Lock,QB,84.57,88.0
Bo Nix,QB,354.15,355.0
Sam Darnold,QB,287.87,272.5
Aaron Rodgers,QB,297.62,292.0
Michael Penix Jr.,QB,273.58,299.6
J.J. McCarthy,QB,273.33,299.6
Cam Ward,QB,258.99,264.9
Tyler Shough,QB,222.74,170.5
Jaxon Dart,QB,96.92,100.0
